State,Residence_Type,Gender,Agriculture & Fishing (%),Mining (%),Manufacturing (%),Energy Supply (%),"Persons working in water supply, sewerage, waste management and remediation industry (%)",Construction (%),Wholesale (%),Transportation & Storage (%),Hotel Industry (%),IT (%),Finance & Insurance (%),Real Estate (%),Scientific & Technical (%),Administration (%),Public administration & Defence (%),Education (%),Health (%),Entertainment Industry (%),Household (%)
Rajasthan,Total,Female,75.2,0.12,5.38,0.24,0.41,6.46,2.34,0.29,0.34,0.09,0.14,0.02,0.23,0.25,0.57,5.46,1.27,0.06,0.41
Rajasthan,Total,Male,43.05,0.98,8.41,0.54,0.24,15.47,10.5,5.61,2.03,0.76,1.17,0.22,1.03,1.28,1.44,3.38,1.03,0.62,0.08
Rajasthan,Total,Person,52.73,0.72,7.5,0.45,0.29,12.76,8.04,4.01,1.52,0.56,0.86,0.16,0.79,0.97,1.18,4.0,1.11,0.45,0.18
Rajasthan,Urban,Female,21.96,0.0,18.24,0.0,2.59,3.55,6.58,1.19,1.39,0.78,1.16,0.13,0.89,1.88,2.38,24.59,4.52,0.18,3.43
Rajasthan,Urban,Male,6.18,1.06,17.96,0.66,0.72,13.05,22.38,7.68,3.61,2.25,3.06,0.85,2.56,3.22,2.7,5.74,2.48,0.49,0.22
Rajasthan,Urban,Person,8.81,0.89,18.01,0.55,1.04,11.46,19.74,6.59,3.24,2.0,2.74,0.73,2.28,3.0,2.64,8.89,2.82,0.44,0.76
Rajasthan,Rural,Female,81.27,0.01,3.62,0.04,0.1,10.07,1.29,0.0,0.45,0.0,0.15,0.0,0.05,0.04,0.29,1.53,0.71,0.0,0.0
Rajasthan,Rural,Male,55.95,1.39,7.66,0.41,0.21,15.25,6.33,4.69,1.33,0.23,0.2,0.02,0.76,0.69,0.31,1.94,0.46,0.33,0.11
Rajasthan,Rural,Person,65.52,0.87,6.13,0.27,0.17,13.29,4.43,2.92,1.0,0.14,0.18,0.01,0.49,0.44,0.3,1.79,0.56,0.21,0.07
Rajasthan,Total,Female,73.29,0.01,6.57,0.03,0.36,9.48,2.76,0.04,0.69,0.01,0.3,0.0,0.68,0.21,0.52,3.26,0.84,0.0,0.18
Rajasthan,Total,Male,42.77,1.31,11.34,0.41,0.62,15.31,10.91,5.79,1.72,0.46,0.67,0.16,0.98,1.1,0.92,2.39,0.66,0.44,0.14
Rajasthan,Total,Person,53.13,0.87,9.72,0.28,0.53,13.33,8.14,3.84,1.37,0.31,0.54,0.1,0.88,0.8,0.78,2.68,0.72,0.29,0.16
Rajasthan,Urban,Female,13.46,0.0,28.75,0.0,2.34,5.1,13.74,0.37,2.5,0.11,1.42,0.0,5.44,1.48,2.23,16.21,1.8,0.0,1.57
Rajasthan,Urban,Male,4.04,1.06,22.15,0.39,1.8,15.51,24.35,9.0,2.87,1.14,2.02,0.57,1.65,2.3,2.71,3.7,1.26,0.74,0.22
Rajasthan,Urban,Person,5.85,0.86,23.42,0.32,1.9,13.51,22.31,7.34,2.8,0.94,1.9,0.46,2.38,2.14,2.62,6.11,1.36,0.6,0.48
Uttar Pradesh,Rural,Female,80.53,0.0,7.66,0.0,0.29,1.26,2.5,0.03,0.31,0.0,0.03,0.0,0.06,0.0,0.51,5.37,0.45,0.0,0.05
Uttar Pradesh,Rural,Male,57.6,0.16,6.8,0.11,0.22,17.56,7.5,2.99,1.1,0.1,0.37,0.04,0.26,0.58,0.47,2.05,0.3,0.25,0.05
Uttar Pradesh,Rural,Person,61.69,0.13,6.95,0.09,0.23,14.66,6.61,2.46,0.96,0.08,0.31,0.03,0.23,0.48,0.48,2.64,0.32,0.21,0.05
Uttar Pradesh,Total,Female,70.24,0.0,10.31,0.0,0.28,1.26,3.18,0.17,0.82,0.09,0.29,0.0,0.17,0.15,0.98,8.17,0.97,0.0,1.5
Uttar Pradesh,Total,Male,45.98,0.17,10.54,0.18,0.25,16.14,11.4,4.18,1.57,0.37,0.88,0.16,0.8,0.79,1.06,2.52,0.64,0.34,0.09
Uttar Pradesh,Total,Person,49.99,0.14,10.51,0.15,0.25,13.68,10.04,3.51,1.45,0.32,0.78,0.13,0.69,0.69,1.05,3.46,0.7,0.28,0.33
Uttar Pradesh,Urban,Female,15.02,0.0,24.55,0.0,0.24,1.25,6.84,0.91,3.52,0.57,1.66,0.0,0.74,0.97,3.46,23.19,3.75,0.0,9.32
Uttar Pradesh,Urban,Male,6.97,0.23,23.11,0.42,0.35,11.35,24.46,8.17,3.15,1.28,2.61,0.56,2.6,1.5,3.05,4.12,1.8,0.62,0.25
Uttar Pradesh,Urban,Person,7.94,0.2,23.28,0.37,0.34,10.14,22.36,7.3,3.19,1.19,2.49,0.49,2.38,1.43,3.1,6.4,2.03,0.55,1.33
Uttar Pradesh,Rural,Female,83.24,0.0,5.08,0.0,0.34,2.96,3.05,0.07,0.38,0.0,0.0,0.0,0.07,0.0,0.36,3.21,0.46,0.0,0.61
Uttar Pradesh,Rural,Male,58.95,0.04,7.31,0.08,0.07,17.82,6.72,2.79,0.79,0.12,0.35,0.02,0.22,0.61,0.66,1.61,0.21,0.07,0.0
Uttar Pradesh,Rural,Person,63.88,0.03,6.86,0.07,0.13,14.8,5.97,2.24,0.71,0.1,0.28,0.02,0.19,0.49,0.6,1.94,0.26,0.06,0.12
Uttar Pradesh,Total,Female,71.83,0.0,7.58,0.02,0.3,2.9,5.91,0.08,0.65,0.2,0.34,0.04,0.19,0.06,0.62,6.01,1.31,0.0,1.31
Uttar Pradesh,Total,Male,46.76,0.09,11.17,0.17,0.13,16.11,11.81,3.61,1.4,0.38,0.65,0.12,0.63,0.86,1.27,2.14,0.52,0.16,0.03
Uttar Pradesh,Total,Person,51.5,0.07,10.49,0.14,0.16,13.61,10.69,2.94,1.26,0.35,0.59,0.11,0.55,0.71,1.14,2.87,0.67,0.13,0.27
Uttar Pradesh,Urban,Female,11.02,0.0,20.91,0.1,0.08,2.58,21.1,0.12,2.14,1.29,2.16,0.25,0.85,0.4,2.02,20.93,5.83,0.0,5.04
Uttar Pradesh,Urban,Male,5.56,0.26,24.21,0.47,0.3,10.33,29.01,6.37,3.46,1.26,1.63,0.46,2.01,1.7,3.31,3.92,1.6,0.48,0.13
Uttar Pradesh,Urban,Person,6.32,0.22,23.75,0.42,0.27,9.25,27.91,5.5,3.28,1.26,1.71,0.43,1.85,1.52,3.13,6.28,2.19,0.42,0.81
Bihar,Rural,Female,75.84,0.0,3.23,0.0,0.0,1.49,2.56,0.0,0.8,0.0,0.0,0.0,0.0,0.0,0.3,14.77,1.0,0.0,0.0
Bihar,Rural,Male,51.88,0.4,5.07,0.1,0.13,17.9,10.93,4.74,1.47,0.15,0.36,0.05,0.34,0.62,0.41,2.76,0.36,0.07,0.54
Bihar,Rural,Person,53.12,0.38,4.98,0.09,0.12,17.05,10.49,4.49,1.43,0.14,0.34,0.05,0.32,0.59,0.41,3.38,0.39,0.06,0.51
Bihar,Total,Female,66.79,0.0,3.62,0.0,0.0,1.55,3.95,0.0,0.83,0.08,0.41,0.0,0.28,0.81,0.93,16.74,2.17,0.0,0.38
Bihar,Total,Male,47.87,0.36,5.4,0.1,0.16,17.66,12.64,4.84,1.68,0.21,0.58,0.07,0.54,0.96,0.55,2.89,0.74,0.16,0.59
Bihar,Total,Person,48.89,0.34,5.3,0.1,0.15,16.79,12.17,4.58,1.64,0.2,0.57,0.07,0.53,0.95,0.57,3.64,0.82,0.15,0.58
Bihar,Urban,Female,9.55,0.0,6.09,0.0,0.0,1.99,12.76,0.0,0.97,0.58,3.03,0.0,2.04,5.9,4.95,29.17,9.58,0.0,2.78
Bihar,Urban,Male,8.04,0.0,8.63,0.17,0.4,15.31,29.63,5.87,3.83,0.8,2.8,0.24,2.52,4.35,1.91,4.23,4.48,1.12,1.09
Bihar,Urban,Person,8.16,0.0,8.43,0.16,0.37,14.26,28.3,5.41,3.6,0.78,2.82,0.22,2.48,4.47,2.15,6.19,4.88,1.03,1.22
Bihar,Rural,Female,80.65,0.0,5.93,0.0,0.0,1.09,4.62,0.02,0.0,0.0,0.0,0.0,0.0,0.18,0.0,5.85,0.99,0.0,0.16
Bihar,Rural,Male,50.16,0.02,4.04,0.03,0.03,22.05,11.02,5.22,1.16,0.2,0.15,0.1,0.27,0.8,0.17,2.85,0.33,0.32,0.08
Bihar,Rural,Person,53.76,0.02,4.26,0.03,0.03,19.57,10.26,4.6,1.03,0.18,0.13,0.08,0.24,0.73,0.15,3.21,0.41,0.28,0.09
Bihar,Total,Female,74.46,0.0,6.5,0.0,0.37,1.55,6.21,0.02,0.53,0.0,0.36,0.0,0.15,0.44,0.0,6.95,1.47,0.0,0.27
Bihar,Total,Male,45.86,0.04,4.52,0.09,0.23,20.97,13.46,5.66,1.43,0.3,0.28,0.19,0.44,0.94,0.36,2.96,0.44,0.43,0.1
Bihar,Total,Person,49.19,0.03,4.75,0.08,0.25,18.71,12.61,5.0,1.33,0.27,0.29,0.17,0.4,0.88,0.32,3.43,0.56,0.38,0.12
Bihar,Urban,Female,11.02,0.0,12.29,0.0,4.13,6.22,22.42,0.0,6.01,0.0,4.06,0.0,1.7,3.04,0.01,18.17,6.35,0.0,1.49
Bihar,Urban,Male,9.62,0.18,8.54,0.65,1.93,11.8,34.06,9.39,3.66,1.16,1.33,1.02,1.86,2.15,1.89,3.89,1.31,1.33,0.25
Bihar,Urban,Person,9.76,0.16,8.91,0.58,2.15,11.25,32.9,8.46,3.89,1.05,1.6,0.92,1.84,2.24,1.71,5.32,1.81,1.19,0.37
Sikkim,Rural,Female,69.71,0.0,0.65,0.45,0.0,3.79,6.13,0.0,2.64,0.0,0.07,0.0,0.0,0.35,4.45,7.52,3.61,0.0,0.0
Sikkim,Rural,Male,44.47,0.0,2.98,1.1,0.31,13.18,3.65,14.13,1.67,0.0,0.0,0.0,0.54,0.25,8.94,6.29,0.56,0.31,0.0
Sikkim,Rural,Person,54.62,0.0,2.04,0.84,0.19,9.41,4.64,8.45,2.06,0.0,0.03,0.0,0.32,0.29,7.14,6.78,1.79,0.18,0.0
Sikkim,Total,Female,58.25,0.0,2.05,0.44,0.0,3.84,8.32,0.2,6.47,0.0,0.22,0.19,0.15,0.47,5.83,9.06,3.6,0.24,0.0
Sikkim,Total,Male,31.86,0.01,4.05,1.57,0.35,12.43,8.65,14.93,4.63,0.06,0.33,0.07,0.41,0.6,10.56,5.27,1.66,0.31,0.0
Sikkim,Total,Person,41.6,0.01,3.31,1.15,0.22,9.26,8.53,9.49,5.31,0.04,0.29,0.11,0.31,0.55,8.81,6.67,2.38,0.29,0.0
Sikkim,Urban,Female,4.91,0.0,8.55,0.35,0.0,4.07,18.54,1.12,24.3,0.0,0.94,1.09,0.84,1.05,12.2,16.24,3.56,1.38,0.0
Sikkim,Urban,Male,0.02,0.04,6.75,2.75,0.46,10.53,21.29,16.94,12.13,0.2,1.16,0.23,0.07,1.48,14.65,2.69,4.45,0.31,0.0
Sikkim,Urban,Person,1.33,0.03,7.23,2.1,0.33,8.8,20.55,12.71,15.38,0.15,1.1,0.46,0.27,1.37,14.0,6.31,4.21,0.6,0.0
Sikkim,Rural,Female,57.67,0.0,3.3,0.0,0.74,4.23,5.6,0.87,1.95,0.0,0.1,0.0,0.0,0.14,10.72,8.82,5.3,0.56,0.0
Sikkim,Rural,Male,44.74,0.0,3.81,1.33,0.17,17.47,4.25,7.17,2.9,0.25,0.0,0.0,0.0,0.71,11.99,3.79,0.57,0.0,0.0
Sikkim,Rural,Person,50.15,0.0,3.6,0.78,0.41,11.93,4.81,4.54,2.5,0.15,0.04,0.0,0.0,0.48,11.46,5.89,2.55,0.23,0.0
Sikkim,Total,Female,47.84,0.0,4.54,0.0,0.61,4.71,7.22,0.72,4.57,0.1,0.48,0.0,0.0,0.12,12.59,9.56,5.91,0.53,0.25
Sikkim,Total,Male,33.73,0.0,4.73,1.0,0.13,16.93,8.51,8.55,5.01,0.53,0.61,0.0,0.16,1.11,13.0,4.02,0.79,0.11,0.0
Sikkim,Total,Person,39.3,0.0,4.65,0.6,0.32,12.11,8.0,5.46,4.84,0.36,0.56,0.0,0.1,0.72,12.83,6.21,2.81,0.28,0.1
Sikkim,Urban,Female,1.78,0.0,10.33,0.0,0.0,6.97,14.81,0.0,16.86,0.55,2.27,0.0,0.0,0.0,21.32,13.07,8.74,0.4,1.42
Sikkim,Urban,Male,1.23,0.0,7.43,0.0,0.0,15.35,21.08,12.61,11.22,1.35,2.42,0.0,0.62,2.27,15.98,4.7,1.45,0.44,0.0
Sikkim,Urban,Person,1.41,0.0,8.33,0.0,0.0,12.74,19.13,8.68,12.98,1.1,2.37,0.0,0.43,1.57,17.64,7.31,3.73,0.43,0.44
Arunachal Pradesh,Rural,Female,69.05,0.0,7.38,0.49,0.0,0.85,8.07,0.57,2.16,0.0,0.0,0.0,0.0,0.12,0.38,8.69,1.81,0.0,0.16
Arunachal Pradesh,Rural,Male,50.76,0.21,0.94,1.04,0.3,2.94,19.29,7.11,1.04,0.0,0.56,0.0,0.13,0.12,6.57,7.09,0.65,0.0,0.08
Arunachal Pradesh,Rural,Person,53.73,0.18,1.99,0.95,0.25,2.6,17.47,6.05,1.22,0.0,0.47,0.0,0.11,0.12,5.57,7.35,0.83,0.0,0.09
Arunachal Pradesh,Total,Female,61.33,0.0,6.44,0.85,0.13,0.86,8.82,0.9,1.89,0.1,0.0,0.0,0.0,0.21,3.82,10.72,3.06,0.0,0.64
Arunachal Pradesh,Total,Male,43.92,0.18,1.23,1.52,0.38,3.84,20.22,7.76,1.19,0.15,0.57,0.0,0.23,0.26,9.05,6.83,1.2,0.01,0.15
Arunachal Pradesh,Total,Person,46.68,0.15,2.05,1.42,0.34,3.37,18.41,6.67,1.3,0.15,0.48,0.0,0.19,0.25,8.22,7.45,1.49,0.01,0.23
Arunachal Pradesh,Urban,Female,10.31,0.0,0.2,3.22,1.0,0.92,13.76,3.05,0.12,0.75,0.0,0.0,0.0,0.82,26.55,24.17,11.35,0.0,3.77
Arunachal Pradesh,Urban,Male,6.39,0.0,2.8,4.18,0.86,8.76,25.31,11.34,2.02,1.0,0.58,0.0,0.8,1.01,22.67,5.41,4.23,0.07,0.59
Arunachal Pradesh,Urban,Person,6.93,0.0,2.44,4.04,0.88,7.68,23.71,10.19,1.76,0.97,0.5,0.0,0.69,0.98,23.2,8.0,5.22,0.06,1.03
Arunachal Pradesh,Rural,Female,70.51,0.0,0.39,0.8,0.3,1.43,9.27,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.86,9.9,5.99,0.0,0.48
Arunachal Pradesh,Rural,Male,62.51,0.0,1.54,0.52,0.57,4.94,11.68,3.55,0.18,0.05,0.36,0.0,0.0,0.25,5.49,6.06,1.16,0.05,0.33
Arunachal Pradesh,Rural,Person,64.3,0.0,1.28,0.58,0.51,4.15,11.14,2.77,0.14,0.04,0.28,0.0,0.0,0.19,4.45,6.92,2.24,0.04,0.36
Arunachal Pradesh,Total,Female,61.43,0.0,0.48,0.85,0.56,1.68,11.42,0.07,0.2,0.1,0.27,0.0,0.05,0.0,3.69,12.0,6.55,0.0,0.65
Arunachal Pradesh,Total,Male,53.24,0.04,1.94,0.81,0.8,5.91,13.74,4.01,0.32,0.34,0.33,0.0,0.11,0.25,8.39,6.28,1.41,0.35,0.72
Arunachal Pradesh,Total,Person,55.02,0.03,1.63,0.82,0.75,4.99,13.24,3.15,0.29,0.29,0.32,0.0,0.1,0.19,7.37,7.53,2.53,0.27,0.7
Arunachal Pradesh,Urban,Female,4.68,0.0,1.06,1.2,2.18,3.27,24.86,0.0,1.46,0.69,1.94,0.0,0.38,0.0,21.4,25.12,10.07,0.0,1.69
Arunachal Pradesh,Urban,Male,7.75,0.21,3.94,2.28,1.95,10.68,23.87,6.27,0.99,1.75,0.23,0.0,0.64,0.25,22.61,7.36,2.68,1.79,2.61
Arunachal Pradesh,Urban,Person,7.18,0.17,3.4,2.08,1.99,9.32,24.06,5.11,1.07,1.55,0.54,0.0,0.59,0.2,22.38,10.64,4.05,1.46,2.44
Nagaland,Rural,Female,63.8,0.0,1.74,0.0,0.0,0.0,9.92,0.0,0.0,1.13,0.0,0.0,0.0,7.13,5.6,2.89,5.97,0.0,0.0
Nagaland,Rural,Male,41.77,0.0,11.41,2.1,0.96,1.84,5.46,7.09,0.0,0.09,0.0,0.0,0.34,6.32,2.03,11.7,1.43,0.27,0.0
Nagaland,Rural,Person,47.09,0.0,9.07,1.59,0.73,1.39,6.54,5.38,0.0,0.34,0.0,0.0,0.26,6.51,2.89,9.57,2.52,0.21,0.0
Nagaland,Total,Female,53.75,0.0,1.74,0.0,0.0,0.19,13.0,0.0,0.0,0.94,0.2,0.0,0.41,9.26,4.91,6.28,7.0,0.0,0.0
Nagaland,Total,Male,31.64,0.0,9.89,1.69,0.76,3.31,10.26,7.71,0.63,0.46,0.35,0.0,0.98,10.29,3.79,10.42,1.37,0.2,0.0
Nagaland,Total,Person,36.47,0.0,8.11,1.32,0.59,2.63,10.86,6.02,0.49,0.57,0.32,0.0,0.86,10.07,4.03,9.52,2.6,0.16,0.0
Nagaland,Urban,Female,5.71,0.0,1.72,0.0,0.0,1.12,27.76,0.0,0.0,0.0,1.15,0.0,2.36,19.47,1.61,22.52,11.94,0.0,0.0
Nagaland,Urban,Male,4.86,0.0,5.87,0.62,0.22,7.2,22.95,9.33,2.29,1.46,1.28,0.0,2.67,20.8,8.44,7.04,1.22,0.0,0.0
Nagaland,Urban,Person,4.99,0.0,5.25,0.52,0.19,6.29,23.67,7.93,1.95,1.24,1.26,0.0,2.63,20.6,7.42,9.36,2.83,0.0,0.0
Nagaland,Rural,Female,75.1,0.0,2.64,0.0,0.0,0.0,3.54,0.0,0.88,0.37,0.0,0.0,0.0,4.42,1.38,8.29,2.03,0.0,0.0
Nagaland,Rural,Male,53.15,0.05,5.84,1.37,1.7,4.66,6.06,4.99,0.47,0.06,0.0,0.0,0.97,5.32,1.92,6.44,0.93,0.0,0.23
Nagaland,Rural,Person,60.74,0.03,4.74,0.89,1.12,3.05,5.19,3.27,0.61,0.17,0.0,0.0,0.63,5.01,1.74,7.08,1.31,0.0,0.15
Nagaland,Total,Female,63.31,0.0,2.74,0.0,0.0,0.0,8.0,0.0,0.96,0.41,0.0,0.0,0.54,6.83,1.72,10.84,2.74,0.0,0.13
Nagaland,Total,Male,41.23,0.03,5.35,1.16,1.25,4.92,11.99,5.54,1.09,0.46,0.24,0.0,1.27,8.18,4.25,6.52,1.13,0.09,0.17
Nagaland,Total,Person,48.54,0.02,4.48,0.78,0.84,3.29,10.67,3.71,1.05,0.44,0.16,0.0,1.03,7.74,3.42,7.95,1.67,0.06,0.16
Nagaland,Urban,Female,20.7,0.0,3.1,0.0,0.0,0.0,24.12,0.0,1.25,0.55,0.0,0.0,2.47,15.57,2.97,20.02,5.31,0.0,0.61
Nagaland,Urban,Male,8.43,0.0,3.98,0.6,0.0,5.61,28.29,7.05,2.8,1.57,0.89,0.0,2.11,16.06,10.66,6.75,1.68,0.33,0.0
Nagaland,Urban,Person,11.95,0.0,3.73,0.43,0.0,4.0,27.1,5.03,2.35,1.28,0.64,0.0,2.22,15.92,8.46,10.56,2.72,0.24,0.18
Manipur,Rural,Female,28.68,0.45,25.41,0.0,0.0,2.11,12.43,0.24,1.08,0.0,0.02,0.0,0.52,2.85,0.96,17.37,6.22,0.2,0.23
Manipur,Rural,Male,39.08,1.04,6.8,0.03,0.17,9.24,6.52,7.31,0.7,0.48,0.96,0.0,1.33,5.04,9.15,6.47,1.99,0.22,0.85
Manipur,Rural,Person,36.51,0.9,11.4,0.02,0.13,7.48,7.98,5.57,0.8,0.36,0.73,0.0,1.13,4.5,7.13,9.16,3.04,0.21,0.7
Manipur,Total,Female,21.46,0.54,24.9,0.0,0.0,1.78,14.4,0.28,1.62,0.11,0.24,0.01,0.69,4.14,1.29,18.66,7.62,0.17,0.44
Manipur,Total,Male,31.92,0.93,7.57,0.02,0.2,10.02,8.95,7.22,0.72,0.59,1.21,0.0,1.83,6.65,9.42,6.88,1.88,0.23,1.1
Manipur,Total,Person,29.19,0.83,12.11,0.02,0.15,7.86,10.38,5.41,0.95,0.46,0.95,0.0,1.53,5.99,7.29,9.96,3.38,0.22,0.93
Manipur,Urban,Female,6.88,0.72,23.86,0.0,0.0,1.12,18.38,0.36,2.7,0.33,0.67,0.03,1.05,6.75,1.95,21.28,10.43,0.11,0.84
Manipur,Urban,Male,13.2,0.62,9.59,0.01,0.28,12.04,15.31,6.99,0.76,0.86,1.85,0.0,3.14,10.85,10.12,7.95,1.57,0.27,1.77
Manipur,Urban,Person,11.32,0.65,13.84,0.01,0.2,8.79,16.22,5.02,1.34,0.7,1.5,0.01,2.51,9.63,7.69,11.92,4.21,0.22,1.5
Manipur,Rural,Female,30.49,0.93,22.39,0.0,0.15,0.58,12.38,0.0,3.18,0.29,0.26,0.0,0.95,1.0,0.9,16.9,7.5,0.0,0.94
Manipur,Rural,Male,46.44,0.59,7.12,0.23,0.02,9.46,7.43,6.36,0.14,0.03,0.22,0.0,1.04,4.89,5.79,6.94,1.35,0.0,0.35
Manipur,Rural,Person,42.07,0.68,11.3,0.17,0.06,7.03,8.78,4.62,0.97,0.1,0.23,0.0,1.02,3.82,4.45,9.66,3.03,0.0,0.51
Manipur,Total,Female,21.83,0.65,24.29,0.0,0.1,0.67,16.8,0.08,3.5,0.33,0.39,0.0,1.02,2.58,0.98,17.49,7.06,0.0,0.86
Manipur,Total,Male,36.91,0.54,7.85,0.23,0.11,10.16,11.43,6.38,0.64,0.33,0.56,0.0,1.67,5.96,6.35,6.96,1.29,0.1,0.5
Manipur,Total,Person,32.44,0.57,12.73,0.16,0.11,7.34,13.02,4.51,1.49,0.33,0.51,0.0,1.48,4.96,4.76,10.09,3.0,0.07,0.61
Manipur,Urban,Female,5.85,0.13,27.79,0.0,0.0,0.85,24.95,0.24,4.08,0.39,0.62,0.0,1.15,5.51,1.13,18.6,6.27,0.0,0.71
Manipur,Urban,Male,11.58,0.43,9.8,0.22,0.34,12.01,22.08,6.43,1.97,1.12,1.46,0.0,3.35,8.82,7.85,7.02,1.12,0.37,0.91
Manipur,Urban,Person,9.57,0.32,16.13,0.14,0.22,8.08,23.09,4.25,2.71,0.87,1.16,0.0,2.58,7.66,5.49,11.09,2.93,0.24,0.84
Mizoram,Rural,Female,70.66,0.0,2.01,0.0,0.0,0.0,16.83,0.0,0.3,0.0,0.0,0.0,0.0,1.54,0.74,4.41,3.52,0.0,0.0
Mizoram,Rural,Male,65.72,1.19,3.34,0.0,0.0,7.38,5.07,3.98,0.0,0.04,0.0,0.0,0.0,0.74,2.08,8.84,0.99,0.0,0.64
Mizoram,Rural,Person,67.0,0.88,2.99,0.0,0.0,5.47,8.11,2.95,0.08,0.03,0.0,0.0,0.0,0.95,1.73,7.69,1.65,0.0,0.47
Mizoram,Total,Female,38.91,0.1,5.47,0.0,0.0,0.22,29.71,0.0,1.51,0.09,0.0,0.0,0.3,6.22,3.6,8.8,4.01,0.0,0.1
Mizoram,Total,Male,43.37,1.12,5.29,0.08,0.0,9.88,7.87,5.94,0.42,0.06,0.07,0.0,0.18,4.27,9.14,9.9,1.0,0.0,0.71
Mizoram,Total,Person,42.09,0.83,5.34,0.06,0.0,7.11,14.12,4.24,0.74,0.07,0.05,0.0,0.21,4.83,7.55,9.59,1.86,0.0,0.53
Mizoram,Urban,Female,6.18,0.21,9.04,0.0,0.0,0.45,43.0,0.0,2.76,0.17,0.0,0.0,0.6,11.04,6.54,13.33,4.52,0.0,0.19
Mizoram,Urban,Male,12.13,1.02,8.01,0.19,0.0,13.38,11.77,8.68,1.02,0.1,0.17,0.0,0.43,9.19,19.01,11.38,1.01,0.0,0.81
Mizoram,Urban,Person,10.22,0.76,8.34,0.13,0.0,9.22,21.81,5.89,1.58,0.12,0.11,0.0,0.49,9.79,15.0,12.01,2.14,0.0,0.61
Mizoram,Rural,Female,75.06,0.0,1.94,0.0,0.0,1.18,13.76,0.35,0.38,0.0,0.0,0.0,0.0,1.28,0.8,3.41,1.55,0.0,0.0
Mizoram,Rural,Male,57.21,0.21,5.17,0.0,0.0,9.05,5.8,6.63,0.06,0.0,0.0,0.0,0.16,1.45,2.46,10.42,1.24,0.0,0.0
Mizoram,Rural,Person,63.04,0.14,4.11,0.0,0.0,6.48,8.4,4.58,0.16,0.0,0.0,0.0,0.11,1.4,1.92,8.13,1.34,0.0,0.0
Mizoram,Total,Female,49.28,0.41,4.8,0.0,0.0,1.06,25.0,0.38,1.38,0.3,0.61,0.0,0.59,3.78,2.67,6.39,2.65,0.0,0.0
