State,Residence_Type,Gender,Agriculture & Fishing (%),Mining (%),Manufacturing (%),Energy Supply (%),"Persons working in water supply, sewerage, waste management and remediation industry (%)",Construction (%),Wholesale (%),Transportation & Storage (%),Hotel Industry (%),IT (%),Finance & Insurance (%),Real Estate (%),Scientific & Technical (%),Administration (%),Public administration & Defence (%),Education (%),Health (%),Entertainment Industry (%),Household (%)
Mizoram,Total,Male,38.44,0.31,6.22,0.0,0.15,10.11,11.25,7.91,0.58,0.29,0.55,0.0,0.41,4.17,7.32,10.33,1.18,0.07,0.07
Mizoram,Total,Person,42.08,0.34,5.74,0.0,0.1,7.07,15.87,5.38,0.85,0.29,0.57,0.0,0.47,4.04,5.75,9.01,1.68,0.04,0.04
Mizoram,Urban,Female,18.1,0.9,8.27,0.0,0.0,0.92,38.59,0.42,2.59,0.66,1.35,0.0,1.3,6.8,4.92,9.99,3.98,0.0,0.0
Mizoram,Urban,Male,13.45,0.44,7.61,0.0,0.34,11.52,18.49,9.62,1.28,0.67,1.29,0.0,0.74,7.78,13.77,10.21,1.1,0.15,0.15
Mizoram,Urban,Person,15.07,0.6,7.84,0.0,0.22,7.83,25.49,6.42,1.73,0.66,1.31,0.0,0.94,7.44,10.69,10.14,2.1,0.1,0.1
Tripura,Rural,Female,41.7,0.0,2.71,0.0,0.0,9.68,5.71,0.6,0.14,0.0,0.0,0.0,0.18,0.75,3.94,20.97,6.27,0.71,4.29
Tripura,Rural,Male,35.81,0.07,6.22,0.06,0.01,13.31,17.72,4.64,0.7,0.41,0.11,0.0,0.66,1.82,4.22,5.08,0.34,0.26,4.5
Tripura,Rural,Person,36.58,0.06,5.76,0.06,0.01,12.83,16.16,4.11,0.63,0.36,0.1,0.0,0.6,1.68,4.18,7.15,1.12,0.32,4.47
Tripura,Total,Female,33.07,0.0,5.84,0.0,0.0,7.76,6.52,0.46,0.48,0.18,0.19,0.0,0.59,1.48,5.86,22.89,6.08,0.97,5.21
Tripura,Total,Male,30.72,0.07,6.46,0.1,0.04,13.75,18.53,5.71,0.84,0.61,0.28,0.0,1.21,2.0,5.23,5.33,0.49,0.24,4.32
Tripura,Total,Person,31.05,0.06,6.38,0.09,0.04,12.92,16.85,4.98,0.79,0.55,0.27,0.0,1.12,1.92,5.32,7.78,1.27,0.34,4.44
Tripura,Urban,Female,3.81,0.0,16.49,0.0,0.0,1.23,9.25,0.0,1.64,0.8,0.82,0.0,1.99,3.94,12.35,29.41,5.41,1.84,8.32
Tripura,Urban,Male,5.35,0.08,7.68,0.28,0.19,15.95,22.52,11.04,1.52,1.59,1.1,0.0,3.93,2.9,10.32,6.61,1.21,0.09,3.44
Tripura,Urban,Person,5.08,0.07,9.27,0.23,0.16,13.29,20.12,9.04,1.54,1.45,1.05,0.0,3.58,3.09,10.68,10.73,1.97,0.41,4.32
Tripura,Rural,Female,55.89,0.0,5.17,0.0,0.96,10.19,5.21,0.0,1.69,0.0,0.0,0.0,0.14,1.02,1.23,15.28,0.94,0.0,1.69
Tripura,Rural,Male,48.09,0.81,6.05,0.0,0.85,15.55,10.61,5.81,1.08,0.28,0.52,0.04,0.27,2.44,1.13,3.06,0.35,0.38,0.36
Tripura,Rural,Person,49.98,0.61,5.83,0.0,0.88,14.25,9.3,4.4,1.23,0.21,0.39,0.03,0.24,2.1,1.15,6.02,0.5,0.28,0.68
Tripura,Total,Female,48.22,0.0,7.14,0.0,1.17,9.62,8.31,0.18,1.67,0.0,0.27,0.0,0.15,1.46,2.13,15.58,1.73,0.0,1.43
Tripura,Total,Male,39.6,0.65,6.35,0.0,0.69,15.34,14.67,7.32,1.08,0.34,0.69,0.14,0.54,3.27,1.85,3.86,0.62,0.39,0.3
Tripura,Total,Person,41.64,0.49,6.53,0.0,0.8,13.98,13.17,5.63,1.22,0.26,0.59,0.1,0.45,2.84,1.91,6.63,0.88,0.29,0.56
Tripura,Urban,Female,11.95,0.0,16.46,0.0,2.14,6.91,22.99,1.03,1.54,0.0,1.56,0.0,0.15,3.51,6.37,16.98,5.44,0.0,0.18
Tripura,Urban,Male,5.18,0.0,7.57,0.0,0.0,14.46,31.14,13.44,1.07,0.57,1.38,0.51,1.64,6.61,4.76,7.1,1.71,0.43,0.05
Tripura,Urban,Person,6.64,0.0,9.48,0.0,0.46,12.84,29.39,10.78,1.17,0.45,1.42,0.4,1.32,5.95,5.11,9.23,2.51,0.34,0.08
Meghalaya,Rural,Female,59.27,2.29,0.63,0.0,0.0,9.46,7.0,0.0,2.66,0.0,0.2,0.0,0.21,0.85,0.54,6.81,6.39,0.0,1.26
Meghalaya,Rural,Male,52.91,1.28,1.37,0.15,0.19,17.99,5.15,7.89,1.54,0.22,0.07,0.0,0.0,0.16,2.15,7.05,0.61,0.03,0.0
Meghalaya,Rural,Person,55.57,1.7,1.06,0.08,0.11,14.42,5.93,4.59,2.01,0.13,0.12,0.0,0.09,0.45,1.48,6.95,3.03,0.02,0.53
Meghalaya,Total,Female,54.73,2.16,0.78,0.01,0.0,8.58,7.82,0.03,3.08,0.0,0.23,0.0,0.4,0.94,1.85,7.62,7.53,0.0,1.79
Meghalaya,Total,Male,46.16,1.17,1.61,0.16,0.16,17.95,7.37,7.95,1.77,0.59,0.34,0.02,0.06,0.72,4.15,6.98,1.12,0.34,0.01
Meghalaya,Total,Person,49.63,1.57,1.27,0.1,0.1,14.15,7.55,4.74,2.3,0.35,0.29,0.01,0.2,0.81,3.22,7.24,3.72,0.2,0.73
Meghalaya,Urban,Female,10.64,0.96,2.18,0.12,0.0,0.0,15.7,0.36,7.2,0.0,0.59,0.0,2.28,1.8,14.57,15.46,18.64,0.0,7.02
Meghalaya,Urban,Male,4.66,0.44,3.06,0.28,0.0,17.72,20.99,8.35,3.16,2.86,1.98,0.14,0.41,4.18,16.45,6.52,4.21,2.29,0.07
Meghalaya,Urban,Person,6.53,0.6,2.78,0.23,0.0,12.18,19.34,5.85,4.43,1.96,1.55,0.09,1.0,3.43,15.86,9.32,8.73,1.57,2.25
Meghalaya,Rural,Female,66.35,2.12,1.37,0.06,0.0,10.98,4.16,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.65,4.8,5.93,0.0,0.82
Meghalaya,Rural,Male,56.21,3.12,2.91,0.34,0.43,15.34,5.35,7.39,0.46,0.0,0.0,0.0,0.08,0.0,2.04,5.49,0.43,0.29,0.02
Meghalaya,Rural,Person,60.28,2.72,2.3,0.23,0.25,13.59,4.87,4.42,1.12,0.0,0.0,0.0,0.05,0.0,1.48,5.22,2.64,0.17,0.34
Meghalaya,Total,Female,59.58,2.02,1.53,0.05,0.0,9.99,6.0,0.0,2.53,0.07,0.0,0.0,0.11,0.0,2.51,6.7,6.14,0.0,1.83
Meghalaya,Total,Male,47.02,2.66,3.49,0.47,0.36,15.37,8.5,8.05,0.79,0.22,0.11,0.02,0.12,0.2,5.32,5.69,0.84,0.48,0.12
Meghalaya,Total,Person,51.86,2.41,2.74,0.31,0.22,13.3,7.54,4.95,1.46,0.16,0.07,0.01,0.11,0.12,4.24,6.08,2.88,0.29,0.77
Meghalaya,Urban,Female,2.77,1.2,2.88,0.0,0.0,1.7,21.48,0.0,6.13,0.66,0.0,0.0,1.0,0.0,18.13,22.65,7.92,0.0,10.25
Meghalaya,Urban,Male,1.21,0.35,6.39,1.12,0.02,15.52,24.25,11.37,2.39,1.32,0.68,0.13,0.28,1.21,21.7,6.69,2.85,1.41,0.61
Meghalaya,Urban,Person,1.65,0.59,5.39,0.8,0.01,11.58,23.46,8.13,3.46,1.13,0.48,0.09,0.49,0.87,20.68,11.24,4.29,1.01,3.36
Assam,Rural,Female,49.3,2.47,10.17,0.0,0.0,3.25,2.35,0.35,1.07,0.08,0.17,0.17,0.0,0.0,1.11,17.01,7.35,0.0,5.0
Assam,Rural,Male,41.47,0.2,10.59,0.04,0.03,14.65,15.02,4.41,0.99,0.05,0.16,0.01,0.21,1.3,1.33,4.51,0.22,0.49,2.82
Assam,Rural,Person,42.47,0.49,10.53,0.03,0.03,13.19,13.4,3.9,1.0,0.05,0.16,0.03,0.18,1.13,1.3,6.11,1.13,0.42,3.1
Assam,Total,Female,44.3,2.35,9.67,0.0,0.0,3.0,3.33,0.61,1.14,0.25,0.48,0.36,0.48,0.3,1.22,19.05,7.59,0.0,5.63
Assam,Total,Male,38.06,0.35,10.68,0.05,0.05,14.27,16.66,4.69,1.2,0.1,0.5,0.06,0.36,1.49,1.62,4.59,0.46,0.52,2.73
Assam,Total,Person,38.86,0.61,10.55,0.04,0.04,12.82,14.94,4.16,1.19,0.12,0.49,0.1,0.38,1.34,1.57,6.45,1.38,0.46,3.1
Assam,Urban,Female,2.17,1.34,5.45,0.0,0.0,0.93,11.56,2.79,1.66,1.66,3.09,1.95,4.52,2.84,2.14,36.21,9.6,0.0,10.94
Assam,Urban,Male,6.63,1.66,11.58,0.19,0.21,10.83,31.77,7.19,3.19,0.58,3.63,0.6,1.79,3.26,4.31,5.34,2.72,0.88,1.94
Assam,Urban,Person,6.01,1.62,10.73,0.17,0.18,9.46,28.98,6.58,2.98,0.73,3.56,0.78,2.17,3.2,4.01,9.61,3.67,0.76,3.18
Assam,Rural,Female,54.32,0.0,5.55,0.0,0.0,4.21,6.17,1.11,1.13,0.0,0.0,0.12,0.1,0.0,0.56,16.43,3.06,0.0,5.4
Assam,Rural,Male,38.83,0.54,7.85,0.12,0.06,14.74,18.39,6.69,1.34,0.19,0.34,0.0,0.27,1.45,1.56,3.79,0.39,0.07,2.0
Assam,Rural,Person,41.32,0.45,7.48,0.1,0.05,13.05,16.43,5.79,1.31,0.16,0.29,0.02,0.24,1.21,1.4,5.82,0.82,0.06,2.54
Assam,Total,Female,47.04,0.0,6.72,0.0,0.3,3.79,7.74,1.23,1.15,0.22,0.54,0.18,0.63,0.15,0.7,18.57,3.2,0.0,5.82
Assam,Total,Male,34.8,0.6,8.6,0.17,0.09,14.28,19.79,7.31,1.49,0.4,0.54,0.11,0.57,1.67,1.73,3.92,0.55,0.08,1.76
Assam,Total,Person,36.79,0.5,8.3,0.14,0.13,12.57,17.82,6.32,1.43,0.37,0.54,0.12,0.58,1.43,1.56,6.31,0.98,0.07,2.43
Assam,Urban,Female,2.02,0.0,13.92,0.0,2.18,1.2,17.38,1.98,1.26,1.55,3.91,0.51,3.91,1.04,1.57,31.78,4.06,0.0,8.43
Assam,Urban,Male,6.27,1.0,13.91,0.52,0.32,11.04,29.65,11.69,2.53,1.88,1.93,0.92,2.71,3.3,2.95,4.86,1.71,0.18,0.12
Assam,Urban,Person,5.5,0.82,13.91,0.43,0.65,9.27,27.44,9.95,2.3,1.82,2.28,0.84,2.93,2.9,2.71,9.7,2.13,0.15,1.61
West Bengal,Rural,Female,44.9,0.54,31.65,0.0,0.0,3.14,4.34,0.05,0.55,0.15,0.01,0.0,0.0,0.11,0.75,6.14,1.47,0.0,4.38
West Bengal,Rural,Male,49.9,0.32,10.37,0.06,0.22,14.28,9.47,5.38,0.74,0.12,0.56,0.0,0.41,0.68,0.97,2.76,0.49,0.21,1.04
West Bengal,Rural,Person,48.89,0.37,14.69,0.04,0.18,12.02,8.43,4.3,0.7,0.13,0.45,0.0,0.33,0.56,0.92,3.44,0.69,0.16,1.72
West Bengal,Total,Female,29.14,0.48,33.23,0.03,0.04,2.36,6.43,0.23,1.62,0.49,0.34,0.0,0.31,0.53,1.04,9.05,2.2,0.01,9.49
West Bengal,Total,Male,35.67,0.35,14.59,0.24,0.3,13.5,13.15,7.14,1.66,0.64,1.0,0.13,0.76,1.37,1.43,3.02,0.86,0.5,1.46
West Bengal,Total,Person,34.24,0.38,18.66,0.2,0.24,11.07,11.69,5.63,1.65,0.61,0.85,0.1,0.66,1.19,1.34,4.33,1.15,0.39,3.21
West Bengal,Urban,Female,1.81,0.38,35.96,0.09,0.1,1.0,10.05,0.54,3.46,1.07,0.92,0.0,0.84,1.26,1.55,14.11,3.46,0.02,18.34
West Bengal,Urban,Male,3.41,0.4,24.15,0.67,0.48,11.75,21.5,11.12,3.75,1.8,1.98,0.41,1.55,2.95,2.47,3.61,1.7,1.16,2.4
West Bengal,Urban,Person,3.01,0.39,27.1,0.52,0.38,9.06,18.64,8.48,3.68,1.62,1.71,0.31,1.37,2.53,2.24,6.24,2.14,0.88,6.39
West Bengal,Rural,Female,56.58,0.0,24.41,0.0,0.07,3.34,4.95,0.0,0.34,0.0,0.36,0.0,0.0,0.38,1.04,5.11,1.84,0.0,0.39
West Bengal,Rural,Male,50.09,0.14,9.14,0.34,0.07,13.97,9.35,6.52,1.76,0.31,0.65,0.02,0.18,1.25,0.9,1.98,0.63,0.29,0.04
West Bengal,Rural,Person,51.47,0.11,12.39,0.27,0.07,11.71,8.42,5.14,1.46,0.24,0.59,0.02,0.14,1.06,0.93,2.64,0.89,0.23,0.12
West Bengal,Total,Female,37.67,0.0,24.73,0.0,0.04,3.12,15.29,0.44,0.65,0.38,0.75,0.04,0.55,0.73,1.45,8.13,2.24,0.06,1.86
West Bengal,Total,Male,36.65,0.26,12.08,0.45,0.16,13.6,14.26,7.54,2.33,0.73,1.05,0.09,0.56,1.69,1.87,2.68,0.88,0.52,0.17
West Bengal,Total,Person,36.89,0.2,15.01,0.35,0.14,11.17,14.5,5.9,1.94,0.65,0.98,0.08,0.56,1.46,1.77,3.94,1.2,0.41,0.56
West Bengal,Urban,Female,4.02,0.0,25.28,0.0,0.0,2.72,33.7,1.23,1.2,1.06,1.45,0.12,1.52,1.35,2.17,13.5,2.95,0.18,4.48
West Bengal,Urban,Male,2.9,0.54,19.47,0.73,0.41,12.68,26.59,10.1,3.75,1.79,2.06,0.27,1.51,2.78,4.32,4.44,1.52,1.09,0.5
West Bengal,Urban,Person,3.21,0.39,21.07,0.53,0.3,9.93,28.55,7.65,3.05,1.59,1.89,0.23,1.51,2.39,3.72,6.94,1.92,0.84,1.6
Jharkhand,Rural,Female,71.58,1.19,7.76,0.0,0.09,5.84,1.94,0.0,0.56,0.0,0.0,0.0,0.0,0.0,1.45,7.25,1.14,0.0,1.11
Jharkhand,Rural,Male,44.2,1.17,5.28,0.11,0.21,29.73,8.11,5.11,1.03,0.11,0.43,0.0,0.16,0.16,1.54,1.72,0.05,0.0,0.09
Jharkhand,Rural,Person,51.23,1.18,5.92,0.08,0.18,23.6,6.53,3.8,0.91,0.08,0.32,0.0,0.12,0.12,1.52,3.14,0.33,0.0,0.35
Jharkhand,Total,Female,64.3,1.41,7.52,0.0,0.28,6.64,2.57,0.06,0.76,0.04,0.42,0.18,0.0,0.15,1.38,8.52,1.68,0.0,2.31
Jharkhand,Total,Male,36.08,1.96,7.73,0.19,0.42,27.18,10.28,5.71,1.57,0.26,1.29,0.14,0.59,0.5,1.7,2.44,0.39,0.02,0.17
Jharkhand,Total,Person,42.77,1.83,7.68,0.14,0.39,22.31,8.46,4.37,1.38,0.21,1.08,0.15,0.45,0.42,1.62,3.88,0.69,0.02,0.67
Jharkhand,Urban,Female,12.19,2.99,5.84,0.0,1.65,12.34,7.09,0.47,2.23,0.32,3.41,1.46,0.0,1.26,0.83,17.58,5.54,0.0,10.84
Jharkhand,Urban,Male,5.75,4.91,16.87,0.49,1.19,17.63,18.4,7.97,3.58,0.85,4.48,0.65,2.2,1.78,2.27,5.14,1.65,0.11,0.47
Jharkhand,Urban,Person,6.74,4.62,15.19,0.42,1.26,16.82,16.67,6.83,3.38,0.77,4.31,0.77,1.86,1.7,2.05,7.04,2.24,0.09,2.05
Jharkhand,Rural,Female,83.18,0.0,5.24,0.0,0.02,3.96,2.59,0.04,0.32,0.0,0.05,0.0,0.0,0.0,0.46,3.46,0.67,0.0,0.0
Jharkhand,Rural,Male,52.55,0.39,7.4,0.07,0.0,20.76,6.66,4.59,1.45,0.14,0.35,0.0,0.52,0.75,0.63,2.29,0.21,0.06,0.0
Jharkhand,Rural,Person,63.82,0.24,6.61,0.04,0.01,14.58,5.16,2.92,1.03,0.09,0.24,0.0,0.33,0.47,0.57,2.72,0.38,0.04,0.0
Jharkhand,Total,Female,77.03,0.03,6.9,0.0,0.02,3.99,4.63,0.04,0.57,0.21,0.44,0.04,0.03,0.0,0.61,4.02,0.86,0.0,0.33
Jharkhand,Total,Male,42.48,1.33,8.76,0.21,0.04,19.91,10.6,6.18,1.91,0.17,0.74,0.05,0.78,0.89,1.06,2.45,0.45,0.16,0.05
Jharkhand,Total,Person,54.05,0.89,8.14,0.14,0.03,14.58,8.6,4.13,1.46,0.19,0.64,0.05,0.53,0.59,0.91,2.98,0.59,0.11,0.14
Jharkhand,Urban,Female,13.59,0.3,24.03,0.0,0.0,4.2,25.7,0.0,3.17,2.35,4.48,0.51,0.38,0.0,2.2,9.78,2.8,0.0,3.73
Jharkhand,Urban,Male,4.79,4.86,13.86,0.76,0.19,16.72,25.35,12.15,3.61,0.3,2.22,0.24,1.77,1.44,2.66,3.04,1.35,0.56,0.23
Jharkhand,Urban,Person,6.32,4.07,15.63,0.62,0.16,14.54,25.41,10.03,3.54,0.65,2.61,0.29,1.53,1.19,2.58,4.21,1.61,0.46,0.84
Odisha,Rural,Female,60.37,0.77,8.71,0.0,0.0,14.63,4.95,0.14,1.22,0.12,0.06,0.0,0.0,0.17,0.65,6.53,1.29,0.0,0.05
Odisha,Rural,Male,46.77,0.79,6.37,0.12,0.17,23.35,9.36,5.47,1.18,0.12,0.38,0.0,0.42,0.48,0.52,2.04,0.5,0.12,0.26
Odisha,Rural,Person,50.19,0.79,6.96,0.09,0.12,21.16,8.25,4.13,1.19,0.12,0.3,0.0,0.31,0.4,0.55,3.16,0.7,0.09,0.21
Odisha,Total,Female,54.56,0.83,9.35,0.05,0.0,14.56,5.42,0.53,1.53,0.11,0.14,0.0,0.15,0.3,0.84,7.96,1.89,0.11,1.16
Odisha,Total,Male,40.73,1.0,7.76,0.34,0.18,21.71,11.33,6.35,1.41,0.28,0.74,0.02,0.7,0.72,1.28,2.41,0.61,0.13,0.3
Odisha,Total,Person,44.1,0.96,8.15,0.27,0.14,19.97,9.89,4.94,1.44,0.24,0.59,0.02,0.56,0.62,1.17,3.77,0.92,0.13,0.51
Odisha,Urban,Female,9.19,1.26,14.35,0.4,0.0,14.09,9.03,3.55,4.0,0.0,0.73,0.0,1.29,1.3,2.28,19.19,6.62,0.99,9.82
Odisha,Urban,Male,5.99,2.23,15.77,1.63,0.29,12.27,22.68,11.43,2.75,1.21,2.81,0.16,2.28,2.11,5.62,4.59,1.22,0.21,0.5
Odisha,Urban,Person,6.62,2.04,15.49,1.39,0.23,12.63,19.98,9.87,2.99,0.97,2.4,0.12,2.09,1.95,4.95,7.48,2.29,0.36,2.35
Odisha,Rural,Female,66.67,0.01,7.69,0.33,0.0,13.2,4.58,0.0,0.34,0.0,0.11,0.0,0.0,0.12,0.28,5.45,0.61,0.21,0.0
Odisha,Rural,Male,49.54,0.17,4.74,0.49,0.15,22.69,8.52,5.25,2.16,0.25,0.33,0.0,0.21,0.62,0.84,2.21,0.21,0.28,0.01
Odisha,Rural,Person,55.1,0.12,5.7,0.44,0.1,19.61,7.24,3.55,1.57,0.17,0.26,0.0,0.14,0.45,0.66,3.26,0.34,0.26,0.01
Odisha,Total,Female,60.88,0.01,7.76,0.31,0.0,13.8,5.86,0.03,0.86,0.06,0.34,0.0,0.12,0.27,0.54,6.98,0.92,0.19,0.26
Odisha,Total,Male,42.59,0.23,6.08,0.55,0.24,22.14,10.77,6.03,2.3,0.5,0.77,0.01,0.43,0.95,1.45,2.7,0.31,0.27,0.05
Odisha,Total,Person,48.31,0.16,6.61,0.47,0.16,19.53,9.24,4.15,1.85,0.36,0.63,0.01,0.34,0.74,1.16,4.04,0.5,0.25,0.12
Odisha,Urban,Female,10.28,0.0,8.35,0.12,0.0,18.99,17.09,0.28,5.42,0.59,2.35,0.0,1.15,1.61,2.77,20.37,3.62,0.0,2.54
Odisha,Urban,Male,3.69,0.56,13.6,0.9,0.74,19.04,23.38,10.34,3.09,1.9,3.23,0.06,1.71,2.82,4.89,5.47,0.87,0.24,0.27
Odisha,Urban,Person,5.25,0.43,12.36,0.72,0.57,19.03,21.89,7.97,3.64,1.59,3.02,0.05,1.58,2.53,4.39,8.98,1.52,0.19,0.8
Chhattisgarh,Rural,Female,85.05,0.05,2.6,0.0,0.09,5.35,4.22,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.22,0.72,1.33,0.0,0.15
Chhattisgarh,Rural,Male,67.51,0.6,4.33,0.11,0.05,11.35,8.17,2.16,0.43,0.0,0.1,0.0,0.02,0.29,1.11,3.44,0.11,0.04,0.02
Chhattisgarh,Rural,Person,74.63,0.37,3.63,0.07,0.07,8.92,6.56,1.29,0.35,0.0,0.06,0.0,0.01,0.17,0.75,2.34,0.6,0.02,0.07
Chhattisgarh,Total,Female,77.65,0.04,3.55,0.05,0.08,5.63,5.46,0.03,0.71,0.0,0.09,0.0,0.05,0.04,0.53,2.61,1.78,0.01,0.65
Chhattisgarh,Total,Male,56.51,0.81,6.65,0.5,0.04,11.74,10.89,3.09,0.97,0.13,0.33,0.08,0.35,0.49,1.83,3.95,0.49,0.4,0.04
Chhattisgarh,Total,Person,64.65,0.51,5.46,0.32,0.06,9.39,8.8,1.91,0.87,0.08,0.24,0.05,0.23,0.32,1.33,3.44,0.99,0.25,0.28
Chhattisgarh,Urban,Female,18.67,0.0,11.1,0.41,0.0,7.84,15.35,0.24,4.61,0.0,0.81,0.0,0.41,0.37,3.04,17.65,5.41,0.11,4.71
Chhattisgarh,Urban,Male,8.56,1.73,16.75,2.17,0.01,13.42,22.73,7.12,3.32,0.71,1.37,0.43,1.78,1.35,4.98,6.2,2.16,1.97,0.17
Chhattisgarh,Urban,Person,11.31,1.26,15.22,1.69,0.01,11.9,20.73,5.25,3.67,0.52,1.21,0.32,1.41,1.08,4.45,9.31,3.04,1.46,1.4
Chhattisgarh,Rural,Female,86.97,0.0,1.28,0.0,0.0,4.96,1.91,0.1,0.66,0.0,0.0,0.0,0.0,0.0,0.01,1.53,2.23,0.0,0.0
Chhattisgarh,Rural,Male,72.1,0.24,3.85,0.53,0.03,9.06,5.58,2.14,1.51,0.26,0.13,0.09,0.11,0.16,0.56,2.31,0.22,0.03,0.06
Chhattisgarh,Rural,Person,78.41,0.14,2.76,0.3,0.02,7.32,4.03,1.28,1.15,0.15,0.08,0.05,0.06,0.09,0.33,1.98,1.07,0.02,0.03
Chhattisgarh,Total,Female,80.54,0.0,1.94,0.0,0.13,5.2,3.66,0.17,0.93,0.08,0.08,0.04,0.0,0.09,0.31,3.08,2.65,0.0,0.08
Chhattisgarh,Total,Male,60.9,0.78,6.1,0.89,0.1,9.29,9.67,3.07,1.96,0.28,0.34,0.18,0.36,0.44,1.2,2.57,0.5,0.12,0.06
Chhattisgarh,Total,Person,68.79,0.46,4.43,0.53,0.11,7.65,7.25,1.9,1.54,0.2,0.24,0.13,0.22,0.3,0.85,2.77,1.36,0.07,0.07
Chhattisgarh,Urban,Female,14.46,0.0,8.76,0.0,1.49,7.63,21.61,0.82,3.65,0.93,0.86,0.46,0.0,0.98,3.34,19.06,6.93,0.0,0.86
Chhattisgarh,Urban,Male,6.21,3.4,17.05,2.67,0.45,10.39,29.6,7.6,4.14,0.39,1.36,0.66,1.6,1.83,4.35,3.79,1.87,0.57,0.08
Chhattisgarh,Urban,Person,8.35,2.52,14.9,1.98,0.72,9.67,27.53,5.84,4.01,0.53,1.23,0.61,1.18,1.61,4.09,7.75,3.18,0.42,0.28
Madhya Pradesh,Rural,Female,80.19,0.0,5.51,0.0,0.0,6.51,3.31,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.17,2.76,0.45,0.0,0.29
Madhya Pradesh,Rural,Male,67.67,0.25,3.37,0.1,0.0,15.46,5.15,2.13,0.4,0.06,0.15,0.0,0.08,0.29,1.01,1.41,0.73,0.03,0.06
Madhya Pradesh,Rural,Person,71.09,0.18,3.95,0.08,0.0,13.02,4.65,1.59,0.33,0.04,0.11,0.0,0.05,0.21,0.78,1.78,0.66,0.02,0.13
Madhya Pradesh,Total,Female,69.12,0.0,8.79,0.0,0.0,6.21,4.47,0.18,0.93,0.08,0.11,0.0,0.09,0.07,0.91,5.37,1.04,0.0,1.48
Madhya Pradesh,Total,Male,53.16,0.47,6.17,0.3,0.11,14.89,9.86,3.7,1.32,0.31,0.42,0.14,0.64,0.95,1.99,2.16,0.92,0.1,0.18
